scan_id,dx,dy,dz,dyaw,fitness,rmse
1,-0.3363188601756413,0.25605938515540083,0.8377224088127735,-1.5412892156569329,0.21959755030621173,0.5738177317027223
2,0.005376842314579881,-0.004914047433352247,-0.0004111259294999907,0.013126858814723488,1.0,0.009125638748096234
3,-0.35018890203090586,0.3195565982511265,0.8358363320766544,-1.55036000786891,0.21872187218721872,0.5764065736408474
4,-0.0002307370934995815,8.506074015433852e-05,0.0007233485559180117,-0.0012508381256200244,1.0,0.009461029091745466
5,0.3004565162898699,0.14492289429906716,0.8328545373679493,1.568896570198118,0.20019020446980504,0.5824439879550759
6,0.0007009392984484617,-0.000556046197404736,0.00031369413198438506,0.0076186361795521325,1.0,0.009899834320629958
7,-0.4131371730596262,1.0501552117544444,0.7814234188148687,-1.6321129107084809,0.19268774703557312,0.5355629506789745
8,-0.00037530855266605184,-0.0062911485821908735,-2.963004847094222e-05,0.006119287718982288,1.0,0.009742953798508642
9,-0.017217075194374206,0.011128082936006109,0.02857638340392049,0.006001575273240246,0.18879353861686018,0.864691895414698
10,-0.00012067575066349216,-0.005965153707218919,-0.00011139380075927278,0.01135430731476327,1.0,0.009494157913319206
11,0.8611173438834409,0.8105763311769076,0.5594491353175741,1.388912080159588,0.17508933129147525,0.5264437075676711
12,-0.003931176722749984,-0.006787140119120513,-0.00011286200318553248,0.007693084432493336,1.0,0.010377489810489159
13,0.5259347802801637,0.8257152608690327,0.7593050313950221,1.5403091047513333,0.1828512396694215,0.548972594699266
14,-0.0027377654309863595,-0.0077075440432243835,-6.928189351367661e-05,0.011322298438699266,1.0,0.011144621438828866
15,0.578281737823727,0.7957254643301378,0.729287733420115,1.513489729125669,0.18557239937271303,0.5566575168499729
16,-0.00023516904285889511,-0.007758991368468701,-0.00021468843105682756,0.019918522000807144,1.0,0.012205944062061273
17,0.5759616144854381,0.7788083413728912,0.729215640441647,1.5148980002818424,0.18368421052631578,0.558999915210724
18,-0.00760110718464329,-0.006389030788867582,-0.0007446843770964469,0.010135062171032324,1.0,0.013216166442115545
19,1.0100930513289292,0.047590498842813855,0.05117257607902763,-0.00032429633155868883,0.21946060285563193,0.7858011707850776
20,-0.0055257552710625425,-0.006128024435192927,-0.0006861737618263153,0.01952906415265503,1.0,0.014502565703444952
21,-0.3921087878317116,1.1016566440611808,0.7456751429116582,-1.6496960642816443,0.18124341412012646,0.5488710918695654
22,-0.007529733311027816,-0.00641017025543962,-0.0007450500924612372,0.010131691365731381,1.0,0.013224562607441055
23,-0.39412208962208406,1.1087631059284797,0.7212514562783525,-1.6795741911618036,0.18018967334035826,0.5442354891711949
24,-0.007782778644256009,-0.005579764119053671,-0.0008636618990351606,0.01945786120554877,1.0,0.014255687649574975
25,-0.4091231598123156,1.0709788412875634,0.764580217242814,-1.6338457102579622,0.17975751186083289,0.5432811534670117
26,-0.009690984028667856,-0.006169231504080606,-0.0009829831791303488,0.010324135559778975,1.0,0.013247869068540846
27,-0.3775605679703066,1.1037501958963303,0.7403896572868139,-1.6795759604827225,0.18119387216059166,0.5433238386375325
28,-0.010287657678966321,-0.00523360703626185,-0.0011846500460802266,0.019604141664961345,1.0,0.014461714245471666
29,-0.4047035804174101,1.067205156108582,0.7683094172048874,-1.6394233187951033,0.18336886993603413,0.5423522035159769
30,-0.012033045133475894,-0.005251257120760481,-0.0012787319062671782,0.010349904961263813,1.0,0.013292758258338977
31,0.0035603222772012033,-0.004997537696532437,0.03475952352976874,-0.012746297846187714,0.1992580816110228,0.8672635481504921
32,0.0018697159059281312,-0.01183256667657599,-0.0005119593734139956,-0.00572786474278263,1.0,0.009337859360540697
33,0.3935813126595978,0.17140023728594916,0.7745404429825756,1.5603453406167342,0.17591125198098256,0.5953213590749132
34,0.0018882809717824776,-0.011414927188330225,-0.00037757382308022537,-0.001731542537588377,1.0,0.010207151912474188
35,0.4060738696641184,1.0181306199974598,0.7641676576063489,1.623577000394122,0.18,0.5508765385576619
36,0.003641928251524272,-0.0028699438398240708,-0.00018252279333228605,-0.017320703796412627,1.0,0.012507002472027037
37,0.4439025235865759,1.0217015048269031,0.737162323322133,1.6301031831375237,0.18124341412012646,0.5498080810284682
38,5.64202219706354e-06,-0.0026583651149996463,-0.00010967657221849786,0.01806388075928236,1.0,0.013506283635848325
39,0.5583449106910269,0.971458159144185,0.7142349685687984,1.5578051842068419,0.1818658280922432,0.5556536208584949
40,-0.002193226634068876,-0.0010034321641920266,-0.0002961516216394149,-0.009924701839240753,1.0,0.013752593561680676
41,0.45588758848574096,1.0272267218804527,0.7291768986694693,1.627699179533321,0.17990531299316148,0.5498770450636569
42,0.001039772277741875,-0.001155351145828154,-0.000281329728829896,0.012650729019513706,1.0,0.014403469736924556
43,1.2473395749839509,-0.3945540483110458,0.3549494230401206,0.172892752810755,0.17572559366754617,0.5933607143463584
44,-0.004825203555327705,-0.00261211638145644,-0.00016317758365112052,-0.008665452315476014,1.0,0.013971242482624944
45,1.276946716130349,-0.3367626179764903,0.3346293640152813,0.2121168561359683,0.17757988475641698,0.5949947543676681
46,-0.0016639913112644928,-0.0027117308439507048,-0.00016278527128686646,0.012593548212257118,1.0,0.013902647557176205
47,0.44157457443683884,1.023805514998435,0.7462081733747483,1.6125514024826006,0.1781609195402299,0.5469822176207078
48,-0.00012148623860698706,-0.0033221433845153202,-9.848308144412565e-05,0.025127921901702474,1.0,0.014653974936918746
49,0.4381817833170883,1.0370303425334815,0.7308778323810873,1.6392157455180045,0.17859007832898172,0.5460181082326129
50,-0.0048816354161042505,-0.0029874621262996207,-0.0003223663929403995,0.015625862764211816,1.0,0.013991781940480535
