time,x,y,yaw
419.56,2.9635240281325184e-14,1.5521481395295158e-30,-9.260657631249372e-16
419.58,2.9635240038521314e-14,1.552148364386437e-30,-9.26067747313703e-16
419.6,2.96352422489553e-14,1.5521463173824325e-30,-9.260734889712377e-16
419.62,2.9635249540893894e-14,1.5521395645517518e-30,-9.260625018986977e-16
419.64,2.9635245787588294e-14,1.552143040314365e-30,-9.260541932159123e-16
419.66,2.963524804081142e-14,1.5521409537157265e-30,-9.260477809688637e-16
419.68,2.963525241197223e-14,1.5521369058201167e-30,-9.260458463949838e-16
419.7,2.96352558317092e-14,1.5521337389624292e-30,-9.260508850151674e-16
419.72,2.9635255734871167e-14,1.5521338286383542e-30,-9.26041600918463e-16
419.74,2.963525721062386e-14,1.5521324620288114e-30,-9.260394060287043e-16
419.76,2.963525858853537e-14,1.5521311860331247e-30,-9.260375283487666e-16
419.78,2.9635260415704335e-14,1.5521294940152752e-30,-9.26018960044428e-16
419.8,2.9635264673002944e-14,1.5521255516449787e-30,-9.260286565576453e-16
419.82,2.963526590004358e-14,1.5521244153688461e-30,-9.260266556586914e-16
419.84,2.9635268927662705e-14,1.552121611727142e-30,-9.260240918937869e-16
419.86,2.9635272142030405e-14,1.55211863513516e-30,-9.260194145984036e-16
419.88,2.963527462977252e-14,1.5521163314286362e-30,-9.26012281411279e-16
419.9,2.963527365853188e-14,1.5521172308154456e-30,-9.260073891448147e-16
419.92,2.9635276897708083e-14,1.5521142313273503e-30,-9.26000976758974e-16
419.94,2.9635278635770063e-14,1.5521126218743875e-30,-9.260065239044876e-16
419.96,2.963528253706923e-14,1.5521090092369649e-30,-9.260008174237281e-16
419.98,2.9635282080677806e-14,1.5521094318407826e-30,-9.259906447953259e-16
420.0,2.963527926142745e-14,1.5521120424495564e-30,-9.25989864561435e-16
420.02,2.9635281076790464e-14,1.5521103614560831e-30,-9.259855833862603e-16
420.04,2.9635278301661936e-14,1.5521129311698143e-30,-9.2598905011796e-16
420.06,2.963527891079865e-14,1.5521123671227728e-30,-9.25970262672385e-16
420.08,2.963528590077794e-14,1.5521058945760487e-30,-9.259782682393591e-16
420.1,2.963528437473948e-14,1.5521073076481593e-30,-9.259663301470983e-16
420.12,2.963528802060788e-14,1.5521039316948567e-30,-9.259717019491854e-16
420.14,2.9635290821569605e-14,1.5521013381009857e-30,-9.259599776858455e-16
420.16,2.963529068801965e-14,1.552101461791593e-30,-9.259455619296768e-16
420.18,2.963529491343531e-14,1.5520975493370541e-30,-9.259345760374306e-16
420.2,2.9635298597486596e-14,1.5520941381520443e-30,-9.259379229064016e-16
420.22,2.963530027562057e-14,1.5520925842989627e-30,-9.259456133382747e-16
420.24,2.963530734607614e-14,1.5520860374485964e-30,-9.259427173154437e-16
420.26,2.9635307550008395e-14,1.5520858486291584e-30,-9.2593570574721e-16
420.28,2.963531184379432e-14,1.5520818728512883e-30,-9.259401310956136e-16
420.3,2.963531113620805e-14,1.5520825280370355e-30,-9.25940115517646e-16
420.32,2.963531061290463e-14,1.5520830125813273e-30,-9.259445370686151e-16
420.34,2.9635310970401723e-14,1.5520826815520434e-30,-9.25945179444519e-16
420.36,2.963531324284123e-14,1.5520805773915013e-30,-9.25950139850043e-16
420.38,2.963531522706737e-14,1.5520787400962593e-30,-9.259430684826975e-16
420.4,2.963531938714578e-14,1.5520748881197577e-30,-9.259401133887786e-16
420.42,2.963532453063154e-14,1.5520701255429035e-30,-9.259340469792028e-16
420.44,2.9635325410650155e-14,1.552069310701117e-30,-9.259315664514774e-16
420.46,2.963532586518392e-14,1.5520688898397876e-30,-9.259354952635957e-16
420.48,2.963532612337159e-14,1.5520686507777485e-30,-9.259396910402546e-16
420.5,2.963533117773503e-14,1.5520639707424388e-30,-9.259350469662653e-16
420.52,2.9635332557077335e-14,1.5520626935528415e-30,-9.25948875447502e-16
420.54,2.963533528692017e-14,1.552060165850134e-30,-9.259597572367723e-16
420.56,2.963533190028208e-14,1.5520633017583794e-30,-9.259682778567429e-16
420.58,2.96353296633376e-14,1.5520653730974095e-30,-9.259735495390967e-16
420.6,2.9635333010439566e-14,1.55206227378586e-30,-9.259759695390394e-16
420.62,2.9635333828271703e-14,1.5520615165012205e-30,-9.259778149747925e-16
420.64,2.9635339103409126e-14,1.5520566318566645e-30,-9.25976837191214e-16
420.66,2.96353435533666e-14,1.5520525112873023e-30,-9.259885735818546e-16
420.68,2.963534604551032e-14,1.552050203573058e-30,-9.260015053361701e-16
420.7,2.963534518492655e-14,1.5520510004799363e-30,-9.260088289192129e-16
420.72,2.963534350838593e-14,1.5520525529660626e-30,-9.259967249096086e-16
420.74,2.9635346841148984e-14,1.552049466880496e-30,-9.259905924813207e-16
420.76,2.9635344515662066e-14,1.5520516202904822e-30,-9.260079414964958e-16
420.78,2.963534555366053e-14,1.5520506591026003e-30,-9.260022694670117e-16
420.8,2.963534913882952e-14,1.5520473392430218e-30,-9.259946764084368e-16
420.82,2.963535389940143e-14,1.5520429309932776e-30,-9.259898869227545e-16
420.84,2.963535514112205e-14,1.5520417811602529e-30,-9.259906537686975e-16
420.86,2.963535112575427e-14,1.5520454993529966e-30,-9.259943778776588e-16
420.88,2.963535364989543e-14,1.5520431620267054e-30,-9.259915147672091e-16
420.9,2.9635355430725827e-14,1.5520415129841473e-30,-9.25987457125459e-16
420.92,2.9635352975946127e-14,1.552043786053452e-30,-9.259757737022687e-16
420.94,2.9635354935225606e-14,1.5520419718047942e-30,-9.259813691778033e-16
420.96,2.9635361271134594e-14,1.5520361049030455e-30,-9.259768924454143e-16
420.98,2.963536132068396e-14,1.552036059019505e-30,-9.259804640148981e-16
421.0,2.9635360797793085e-14,1.5520365431878603e-30,-9.259791661491931e-16
421.02,2.96353690004733e-14,1.5520289476650076e-30,-9.259797720428675e-16
421.04,2.9635373413392984e-14,1.5520248614032588e-30,-9.259769901855644e-16
421.06,2.9635372715848484e-14,1.5520255073131856e-30,-9.259733751078457e-16
421.08,2.9635374219277104e-14,1.5520241151804436e-30,-9.259716863491139e-16
421.1,2.963537584036935e-14,1.5520226141033881e-30,-9.259575431700575e-16
421.12,2.9635378122462205e-14,1.5520205009777982e-30,-9.259502809064981e-16
421.14,2.9635380299662925e-14,1.5520184849947858e-30,-9.25937926523171e-16
421.16,2.963537710237133e-14,1.5520214454750634e-30,-9.259352112822211e-16
421.18,2.963538024644186e-14,1.552018534255585e-30,-9.259478647067508e-16
421.2,2.963537640052744e-14,1.5520220953613183e-30,-9.2594194528842e-16
421.22,2.9635378750875094e-14,1.5520199190924983e-30,-9.259371275956119e-16
421.24,2.9635378443253445e-14,1.5520202039275556e-30,-9.259432467394663e-16
421.26,2.96353820552847e-14,1.552016859405205e-30,-9.259388570649148e-16
421.28,2.963538081172304e-14,1.5520180108722758e-30,-9.259481766498997e-16
421.3,2.963537986288946e-14,1.5520188894425399e-30,-9.259495737242668e-16
421.32,2.9635382235406253e-14,1.5520166926100386e-30,-9.259469390560393e-16
421.34,2.963538603982724e-14,1.552013169901049e-30,-9.259483447452881e-16
421.36,2.963538694235972e-14,1.5520123342038549e-30,-9.259538374067666e-16
421.38,2.963538989102438e-14,1.5520096038771086e-30,-9.259519778859021e-16
421.4,2.963538736778999e-14,1.5520119402786245e-30,-9.259534722821022e-16
421.42,2.963538802781828e-14,1.5520113291313504e-30,-9.259529341453791e-16
