time,x,y,yaw,gyro_bias
25.62,3.818000736741904e-05,-3.624036143307207e-20,-9.491973407443386e-16,0.0
25.64,4.9076602132915864e-05,-4.658338020765034e-20,-9.491973407443386e-16,0.0
25.66,0.00028611946304299743,-2.715838334259299e-19,-9.491973407443386e-16,0.0
25.68,-0.0002261021842357427,2.1461559204273484e-19,-9.491973407443386e-16,0.0
25.7,-0.0003346294942486221,3.1762942610509636e-19,-9.491973407443386e-16,0.0
25.72,-0.0006523066251950742,6.191677140147597e-19,-9.491973407443386e-16,0.0
25.74,-0.00037980844486246596,3.6051316588537677e-19,-9.491973407443386e-16,0.0
25.76,-0.00020123796327622178,1.9101453962827794e-19,-9.491973407443386e-16,0.0
25.78,-0.0003034515087165637,2.880353651483011e-19,-9.491973407443386e-16,0.0
25.8,0.00027666716905289535,-2.6261174110659135e-19,-9.491973407443386e-16,0.0
25.82,7.351574870628096e-05,-6.978095314514964e-20,-9.491973407443386e-16,0.0
25.84,-0.0003583573511923899,3.401518448176828e-19,-9.491973407443386e-16,0.0
25.86,-0.0003437912041131358,3.2632569674516393e-19,-9.491973407443386e-16,0.0
25.88,-0.0008197384119536814,7.780935207621029e-19,-9.491973407443386e-16,0.0
25.9,-0.0006839522331886863,6.49205640968534e-19,-9.491973407443386e-16,0.0
25.92,-0.0004908719326559022,4.659343331526977e-19,-9.491973407443386e-16,0.0
25.94,-0.0008889758907400305,8.438135515059479e-19,-9.491973407443386e-16,0.0
25.96,-0.0012018145908150746,1.1407592136990956e-18,-9.491973407443386e-16,0.0
25.98,-0.00203032815810466,1.9271820885409757e-18,-9.491973407443386e-16,0.0
26.0,-0.0018980404219738401,1.8016149211925126e-18,-9.491973407443386e-16,0.0
26.02,-0.0015760677853318308,1.4959993506994742e-18,-9.491973407443386e-16,0.0
26.04,-0.0024244212714078974,2.3012542236940655e-18,-9.491973407443386e-16,0.0
26.06,-0.002432037079190759,2.308483128189178e-18,-9.491973407443386e-16,0.0
26.08,-0.002141125656118249,2.0323507790166e-18,-9.491973407443386e-16,0.0
26.1,-0.0016970701192763336,1.6108544443034544e-18,-9.491973407443386e-16,0.0
26.12,-0.0009682785965964753,9.190874690187155e-19,-9.491973407443386e-16,0.0
26.14,-0.001119412267087198,1.0625431471454405e-18,-9.491973407443386e-16,0.0
26.16,-0.0010363810566715386,9.837301430201131e-19,-9.491973407443386e-16,0.0
26.18,-0.0014714608124533437,1.3967066902198988e-18,-9.491973407443386e-16,0.0
26.2,-0.001948605872201815,1.8496115120824462e-18,-9.491973407443386e-16,0.0
26.22,-0.0022026793831553793,2.090777413033147e-18,-9.491973407443386e-16,0.0
26.24,-0.0019039170183421659,1.8071929708379546e-18,-9.491973407443386e-16,0.0
26.26,-0.0026700402729218082,2.534395126767349e-18,-9.491973407443386e-16,0.0
26.28,-0.002458762268978275,2.3338506072663753e-18,-9.491973407443386e-16,0.0
26.3,-0.0021787499438940014,2.0680636529207434e-18,-9.491973407443386e-16,0.0
26.32,-0.002064677103375558,1.959786016049484e-18,-9.491973407443386e-16,0.0
26.34,-0.001970317602103738,1.8702202283683108e-18,-9.491973407443386e-16,0.0
26.36,-0.002107219154716248,2.0001668180518764e-18,-9.491973407443386e-16,0.0
26.38,-0.002444384027710321,2.320202818890253e-18,-9.491973407443386e-16,0.0
26.4,-0.0028701623214822496,2.7243504430852293e-18,-9.491973407443386e-16,0.0
26.42,-0.002633392187283666,2.4996088613362538e-18,-9.491973407443386e-16,0.0
26.44,-0.0026945451848736763,2.5576551240272363e-18,-9.491973407443386e-16,0.0
26.46,-0.0031204390896206985,2.9619124858523325e-18,-9.491973407443386e-16,0.0
26.48,-0.0023143204176296816,2.1967467860741015e-18,-9.491973407443386e-16,0.0
26.5,-0.0026786973806069126,2.5426124303605876e-18,-9.491973407443386e-16,0.0
26.52,-0.0019898609188067047,1.8887706926120913e-18,-9.491973407443386e-16,0.0
26.54,-0.0018453933687019623,1.7516424782288203e-18,-9.491973407443386e-16,0.0
26.56,-0.0019324589678984413,1.8342849134564305e-18,-9.491973407443386e-16,0.0
26.58,-0.0019225645034125474,1.824893114078331e-18,-9.491973407443386e-16,0.0
26.6,-0.0018877070720136207,1.7918065328892912e-18,-9.491973407443386e-16,0.0
26.62,-0.0015850365961921943,1.5045125221177695e-18,-9.491973407443386e-16,0.0
26.64,-0.001487059763522036,1.4115131730927022e-18,-9.491973407443386e-16,0.0
26.66,-0.0010725008647527099,1.0180149687989564e-18,-9.491973407443386e-16,0.0
26.68,-0.0015496791935754517,1.4709513695783304e-18,-9.491973407443386e-16,0.0
26.7,-0.0014151839526305352,1.3432888445306466e-18,-9.491973407443386e-16,0.0
26.72,-0.001984146352611527,1.883346441576121e-18,-9.491973407443386e-16,0.0
26.74,-0.0026207253393610024,2.4875855229724484e-18,-9.491973407443386e-16,0.0
26.76,-0.0029627411753410256,2.8122260449771383e-18,-9.491973407443386e-16,0.0
26.78,-0.0032925866396011313,3.1253144825094127e-18,-9.491973407443386e-16,0.0
26.8,-0.0032623124649983687,3.0965783164832407e-18,-9.491973407443386e-16,0.0
26.82,-0.0024872612434995835,2.360901758095942e-18,-9.491973407443386e-16,0.0
26.84,-0.002003779416835607,1.9019820939282804e-18,-9.491973407443386e-16,0.0
26.86,-0.001986324705649974,1.885414128487417e-18,-9.491973407443386e-16,0.0
26.88,-0.0021412511013439153,2.032469851291211e-18,-9.491973407443386e-16,0.0
26.9,-0.002225944736610982,2.1128608246646817e-18,-9.491973407443386e-16,0.0
26.92,-0.0030960012435844644,2.9387161473812196e-18,-9.491973407443386e-16,0.0
26.94,-0.0031709229638984373,3.0098316450672337e-18,-9.491973407443386e-16,0.0
26.96,-0.0028669726116979585,2.721322779040234e-18,-9.491973407443386e-16,0.0
26.98,-0.002619364585385863,2.486293898917839e-18,-9.491973407443386e-16,0.0
27.0,-0.0026257293254647205,2.4923352932752194e-18,-9.491973407443386e-16,0.0
27.02,-0.003081045507932632,2.9245202028716248e-18,-9.491973407443386e-16,0.0
27.04,-0.0027891435069300583,2.6474475997620308e-18,-9.491973407443386e-16,0.0
27.06,-0.002563778659075787,2.433531885481504e-18,-9.491973407443386e-16,0.0
27.08,-0.0029779343537324255,2.8266473695037097e-18,-9.491973407443386e-16,0.0
27.1,-0.0030722329169947634,2.9161553149883326e-18,-9.491973407443386e-16,0.0
27.12,-0.0032288330765414394,3.0647997699901766e-18,-9.491973407443386e-16,0.0
27.14,-0.0026697462432405715,2.534116034575819e-18,-9.491973407443386e-16,0.0
27.16,-0.0025057773828052,2.378477228285685e-18,-9.491973407443386e-16,0.0
27.18,-0.0019359506733264368,1.837599230963346e-18,-9.491973407443386e-16,0.0
27.2,-0.0022772092735976993,2.1615209868469637e-18,-9.491973407443386e-16,0.0
27.22,-0.0029702540588128026,2.819357253989871e-18,-9.491973407443386e-16,0.0
27.24,-0.002928831513999694,2.7800390846064053e-18,-9.491973407443386e-16,0.0
27.26,-0.002938551736456101,2.7892654939134703e-18,-9.491973407443386e-16,0.0
27.28,-0.0029082706316020043,2.760522749711161e-18,-9.491973407443386e-16,0.0
27.3,-0.0025981659652077873,2.46617222501736e-18,-9.491973407443386e-16,0.0
27.32,-0.002400083727453721,2.278153091692512e-18,-9.491973407443386e-16,0.0
27.34,-0.0026140313665033417,2.481231621736942e-18,-9.491973407443386e-16,0.0
27.36,-0.0027832847652251446,2.641886497715619e-18,-9.491973407443386e-16,0.0
