time,P_00,P_01,P_02,P_03,P_10,P_11,P_12,P_13,P_20,P_21,P_22,P_23,P_30,P_31,P_32,P_33
25.94,0.010002720000000014,-2.5742760205191476e-21,-8.504059195224332e-21,1.9276670241777233e-22,-2.5742760205191476e-21,0.010000007944339898,-8.959210935584426e-06,2.0308390483543616e-07,-8.504059195224332e-21,-8.959210935584426e-06,0.010116291967999996,-0.00034005440000000014,1.9276670241777233e-22,2.0308390483543616e-07,-0.00034005440000000014,0.0010003400000000017
25.96,0.010002880000000014,-2.719887033371009e-21,-1.1513923100229461e-20,2.937443814074659e-22,-2.719887033371009e-21,0.010000014539977495,-1.213016788605888e-05,3.094660812862353e-07,-1.1513923100229461e-20,-1.213016788605888e-05,0.010130334279999995,-0.00036006119999999975,2.937443814074659e-22,3.094660812862353e-07,-0.00036006119999999975,0.0010003600000000018
25.98,0.010003040000000015,-2.846079183806286e-21,-1.9492187802724917e-20,5.769047454304829e-22,-2.846079183806286e-21,0.010000041593808117,-2.0535442911628467e-05,6.07781670540804e-07,-1.9492187802724917e-20,-2.0535442911628467e-05,0.010145176871999994,-0.0003800683999999994,5.769047454304829e-22,6.07781670540804e-07,-0.0003800683999999994,0.0010003800000000019
26.0,0.010003200000000016,-3.0029393916231995e-21,-1.8228870293319612e-20,5.291806330438204e-22,-3.0029393916231995e-21,0.010000036338174662,-1.9204510496231433e-05,5.575032823299411e-07,-1.8228870293319612e-20,-1.9204510496231433e-05,0.010160819759999993,-0.000400075999999999,5.291806330438204e-22,5.575032823299411e-07,-0.000400075999999999,0.001000400000000002
26.02,0.010003360000000017,-3.165549537854246e-21,-1.5131703789251542e-20,4.0691117806324788e-22,-3.165549537854246e-21,0.010000025024856292,-1.594157836281506e-05,4.28689757752753e-07,-1.5131703789251542e-20,-1.594157836281506e-05,0.010177262959999994,-0.00042008399999999863,4.0691117806324788e-22,4.28689757752753e-07,-0.00042008399999999863,0.001000420000000002
26.04,0.010003520000000017,-3.2847945417101963e-21,-2.3341898098861502e-20,7.451858661303067e-22,-3.2847945417101963e-21,0.010000059397656618,-2.459119626331583e-05,7.850694835975301e-07,-2.3341898098861502e-20,-2.459119626331583e-05,0.010194506487999994,-0.00044009239999999824,7.451858661303067e-22,7.850694835975301e-07,-0.00044009239999999824,0.0010004400000000022
26.06,0.010003680000000018,-3.4363100201630464e-21,-2.3430560557679236e-20,7.483672520589314e-22,-3.4363100201630464e-21,0.010000059772811553,-2.4684604088024025e-05,7.884211427226283e-07,-2.3430560557679236e-20,-2.4684604088024025e-05,0.010212550359999992,-0.0004601011999999979,7.483672520589314e-22,7.884211427226283e-07,-0.0004601011999999979,0.0010004600000000023
26.08,0.010003840000000019,-3.600993655383999e-21,-2.0622971404266097e-20,6.213184268458099e-22,-3.600993655383999e-21,0.010000046275027529,-2.1726747978554215e-05,6.545724478732594e-07,-2.0622971404266097e-20,-2.1726747978554215e-05,0.010231394591999992,-0.0004801103999999975,6.213184268458099e-22,6.545724478732594e-07,-0.0004801103999999975,0.0010004800000000024
26.1,0.01000400000000002,-3.769265731755291e-21,-1.6318855157793964e-20,4.189536529881487e-22,-3.769265731755291e-21,0.010000028996742868,-1.719226809569135e-05,4.413767664578738e-07,-1.6318855157793964e-20,-1.719226809569135e-05,0.010251039199999996,-0.0005001200000000007,4.189536529881487e-22,4.413767664578738e-07,-0.0005001200000000007,0.0010005000000000025
26.12,0.01000416000000002,-3.939755291405931e-21,-9.228984519950851e-21,7.298715330874457e-23,-3.939755291405931e-21,0.010000009382291444,-9.72293549907514e-06,7.689355013522256e-08,-9.228984519950851e-21,-9.72293549907514e-06,0.010271484199999995,-0.0005201300000000004,7.298715330874457e-23,7.689355013522256e-08,-0.0005201300000000004,0.0010005200000000026
26.14,0.010004320000000021,-4.0886145494379574e-21,-1.0705439306333249e-20,1.4760275517279819e-22,-4.0886145494379574e-21,0.010000012555832242,-1.1278412661731955e-05,1.5550270616756223e-07,-1.0705439306333249e-20,-1.1278412661731955e-05,0.010292729607999993,-0.0005401404,1.4760275517279819e-22,1.5550270616756223e-07,-0.0005401404,0.0010005400000000027
26.16,0.010004480000000022,-4.242196540128291e-21,-9.896339018629052e-21,1.0503266759934214e-22,-4.242196540128291e-21,0.010000010753871682,-1.0426007947797844e-05,1.1065419496116382e-07,-9.896339018629052e-21,-1.0426007947797844e-05,0.010314775439999991,-0.0005601511999999996,1.0503266759934214e-22,1.1065419496116382e-07,-0.0005601511999999996,0.0010005600000000028
26.18,0.010004640000000023,-4.3836033856294805e-21,-1.4162826604503102e-20,3.363619760851585e-22,-4.3836033856294805e-21,0.01000002177869083,-1.4920845220022362e-05,3.543646422580487e-07,-1.4162826604503102e-20,-1.4920845220022362e-05,0.01033762171199999,-0.0005801623999999992,3.363619760851585e-22,3.543646422580487e-07,-0.0005801623999999992,0.0010005800000000029
26.2,0.010004800000000024,-4.519725541182569e-21,-1.885676773094903e-20,5.991203245085062e-22,-4.519725541182569e-21,0.010000038371045539,-1.986601407475709e-05,6.311862652698648e-07,-1.885676773094903e-20,-1.986601407475709e-05,0.01036126843999999,-0.0006001739999999989,5.991203245085062e-22,6.311862652698648e-07,-0.0006001739999999989,0.001000600000000003
26.22,0.010004960000000025,-4.661380230350204e-21,-2.1370429605832603e-20,7.438618279456917e-22,-4.661380230350204e-21,0.010000049134756005,-2.2514211416852905e-05,7.83674580632909e-07,-2.1370429605832603e-20,-2.2514211416852905e-05,0.010385715639999989,-0.0006201859999999985,7.438618279456917e-22,7.83674580632909e-07,-0.0006201859999999985,0.001000620000000003
26.24,0.010005120000000025,-4.8251412419455814e-21,-1.8436561963806892e-20,5.679867270784247e-22,-4.8251412419455814e-21,0.010000036608975995,-1.9423318178861907e-05,5.983863446488618e-07,-1.8436561963806892e-20,-1.9423318178861907e-05,0.010410963327999989,-0.0006401983999999981,5.679867270784247e-22,5.983863446488618e-07,-0.0006401983999999981,0.0010006400000000032
26.26,0.010005280000000026,-4.942963235377062e-21,-2.602810774890597e-20,1.0335403837809722e-21,-4.942963235377062e-21,0.010000072480948688,-2.7421176431547236e-05,1.08885722643354e-06,-2.602810774890597e-20,-2.7421176431547236e-05,0.010437011519999992,-0.0006602112000000013,1.0335403837809722e-21,1.08885722643354e-06,-0.0006602112000000013,0.0010006600000000033
26.28,0.010005440000000027,-5.105390920281245e-21,-2.39530450615196e-20,9.011386459078107e-22,-5.105390920281245e-21,0.010000061359857286,-2.5235052852904302e-05,9.49369121916375e-07,-2.39530450615196e-20,-2.5235052852904302e-05,0.010463860231999992,-0.000680224400000001,9.011386459078107e-22,9.49369121916375e-07,-0.000680224400000001,0.0010006800000000034
26.3,0.010005600000000028,-5.269898032091686e-21,-2.1186294397245148e-20,7.203438743602255e-22,-5.269898032091686e-21,0.010000048048044505,-2.2320220978106978e-05,7.588979060933195e-07,-2.1186294397245148e-20,-2.2320220978106978e-05,0.010491509479999992,-0.0007002380000000006,7.203438743602255e-22,7.588979060933195e-07,-0.0007002380000000006,0.0010007000000000035
26.32,0.010005760000000028,-5.426473581900832e-21,-2.006318901870779e-20,6.445237584727685e-22,-5.426473581900832e-21,0.010000043092304442,-2.1137005085765093e-05,6.790197683943658e-07,-2.006318901870779e-20,-2.1137005085765093e-05,0.010519959279999993,-0.0007202520000000002,6.445237584727685e-22,6.790197683943658e-07,-0.0007202520000000002,0.0010007200000000036
26.34,0.01000592000000003,-5.582042553233758e-21,-1.9132560855835996e-20,5.800138207638279e-22,-5.582042553233758e-21,0.01000003919701665,-2.0156568117682125e-05,6.11057148884335e-07,-1.9132560855835996e-20,-2.0156568117682125e-05,0.010549209647999993,-0.0007402663999999999,5.800138207638279e-22,6.11057148884335e-07,-0.0007402663999999999,0.0010007400000000036
26.36,0.01000608000000003,-5.728487903901606e-21,-2.0516918851748584e-20,6.762089149011581e-22,-5.728487903901606e-21,0.010000044913661249,-2.1615019312696017e-05,7.124007683912082e-07,-2.0516918851748584e-20,-2.1615019312696017e-05,0.010579260599999992,-0.0007602811999999995,6.762089149011581e-22,7.124007683912082e-07,-0.0007602811999999995,0.0010007600000000037
26.38,0.01000624000000003,-5.8653827557114594e-21,-2.3921053631392825e-20,9.195262696617601e-22,-5.8653827557114594e-21,0.010000060691963679,-2.5201349186918792e-05,9.687408826289895e-07,-2.3921053631392825e-20,-2.5201349186918792e-05,0.010610112151999992,-0.0007802963999999991,9.195262696617601e-22,9.687408826289895e-07,-0.0007802963999999991,0.0010007800000000038
26.4,0.010006400000000032,-5.9950584401279394e-21,-2.8233802874183666e-20,1.2348812058896528e-21,-5.9950584401279394e-21,0.010000084075815645,-2.9744924118775303e-05,1.3009741524573675e-06,-2.8233802874183666e-20,-2.9744924118775303e-05,0.010641764319999992,-0.0008003119999999988,1.2348812058896528e-21,1.3009741524573675e-06,-0.0008003119999999988,0.001000800000000004
26.42,0.010006560000000032,-6.159733586669664e-21,-2.58632562847294e-20,1.0550178211169669e-21,-6.159733586669664e-21,0.010000070586974628,-2.7247501836075545e-05,1.111484172816631e-06,-2.58632562847294e-20,-2.7247501836075545e-05,0.010674217119999998,-0.000820328000000002,1.0550178211169669e-21,1.111484172816631e-06,-0.000820328000000002,0.001000820000000004
26.44,0.010006720000000033,-6.308404039590119e-21,-2.6504907391611454e-20,1.1026347956977354e-21,-6.308404039590119e-21,0.01000007395942571,-2.792349520367062e-05,1.1616496890236491e-06,-2.6504907391611454e-20,-2.792349520367062e-05,0.010707470567999996,-0.0008403444000000017,1.1026347956977354e-21,1.1616496890236491e-06,-0.0008403444000000017,0.0010008400000000041
26.46,0.010006880000000034,-6.435855543902046e-21,-3.0862328199368323e-20,1.4423502058662295e-21,-6.435855543902046e-21,0.01000009968649969,-3.25141325987774e-05,1.5195472468719434e-06,-3.0862328199368323e-20,-3.25141325987774e-05,0.010741524679999994,-0.0008603612000000014,1.4423502058662295e-21,1.5195472468719434e-06,-0.0008603612000000014,0.0010008600000000042
26.48,0.010007040000000035,-6.630858989819545e-21,-2.2658962577435114e-20,7.840313262061898e-22,-6.630858989819545e-21,0.010000054246137032,-2.3871708868954975e-05,8.259940188953445e-07,-2.2658962577435114e-20,-2.3871708868954975e-05,0.010776379471999992,-0.000880378400000001,7.840313262061898e-22,8.259940188953445e-07,-0.000880378400000001,0.0010008800000000043
26.5,0.010007200000000036,-6.764859658081403e-21,-2.6407912485968816e-20,1.088523968738096e-21,-6.764859658081403e-21,0.010000073073524648,-2.782130896538367e-05,1.1467836265580989e-06,-2.6407912485968816e-20,-2.782130896538367e-05,0.01081203495999999,-0.0009003960000000007,1.088523968738096e-21,1.1467836265580989e-06,-0.0009003960000000007,0.0010009000000000044
