time,x,y,yaw,velocity
418.86,0.0006412624392715419,1.552209932030403e-30,0.0,0.03206312196203337
418.88,0.0012835291304820742,1.552209932030403e-30,0.0,0.03211333456055582
418.9,0.0006098715152610672,1.552209932030403e-30,0.0,-0.03368288076108098
418.92,0.0003539759075548015,1.552209932030403e-30,0.0,-0.012794780385288557
418.94,0.00016077492692581638,1.552209932030403e-30,0.0,-0.009660049031458043
418.96,-0.00037507650803867863,1.552209932030403e-30,0.0,-0.02679257174824912
418.98,-0.00047789653375707316,1.552209932030403e-30,0.0,-0.005141001285909791
419.0,-0.00047663702983102277,1.552209932030403e-30,0.0,6.297519630257768e-05
419.02,-0.000313677387757988,1.552209932030403e-30,0.0,0.00814798210365915
419.04,3.522195806678416e-05,1.552209932030403e-30,0.0,0.017444967291204892
419.06,0.000306751249485689,1.552209932030403e-30,0.0,0.01357646457095759
419.08,0.0004210661884783051,1.552209932030403e-30,0.0,0.0057157469496360025
419.1,-9.515298193067266e-05,1.552209932030403e-30,0.0,-0.025810958520399007
419.12,0.00021339029480827408,1.552209932030403e-30,0.0,0.015427163836961369
419.14,0.00032226225795566684,1.552209932030403e-30,0.0,0.00544359815737459
419.16,0.000396764848061881,1.552209932030403e-30,0.0,0.0037251295053035084
419.18,0.00033441397504845895,1.552209932030403e-30,0.0,-0.0031175436506739387
419.2,0.0005259301928525796,1.552209932030403e-30,0.0,0.00957581089021474
419.22,0.0011121968239275553,1.552209932030403e-30,0.0,0.029313331553692135
419.24,0.0005021399496443665,1.552209932030403e-30,0.0,-0.03050284371418718
419.26,0.00016320996465748886,1.552209932030403e-30,0.0,-0.016946499249359294
419.28,2.4601538657845342e-05,1.552209932030403e-30,0.0,-0.0069304212999884785
419.3,-0.0008332771087109429,1.552209932030403e-30,0.0,-0.042893932368356515
419.32,-0.0006766321629314688,1.552209932030403e-30,0.0,0.007832247288980826
419.34,-0.0013569108767055554,1.552209932030403e-30,0.0,-0.034013935688735265
419.36,-0.0008264152338640561,1.552209932030403e-30,0.0,0.0265247821420237
419.38,-0.001083536227702919,1.552209932030403e-30,0.0,-0.012856049691954839
419.4,-0.0008620105119235119,1.552209932030403e-30,0.0,0.01107628578898043
419.42,-0.0007411415889492553,1.552209932030403e-30,0.0,0.00604344614870115
419.44,-0.000968511664990824,1.552209932030403e-30,0.0,-0.011368503802088774
419.46,-0.0013059542948072505,1.552209932030403e-30,0.0,-0.016872131490836665
419.48,-0.0012226812308042438,1.552209932030403e-30,0.0,0.004163653200142291
419.5,-0.0008216810415120042,1.552209932030403e-30,0.0,0.020050009464630213
419.52,-0.0014989230271624096,1.552209932030403e-30,0.0,-0.03386209928255107
419.54,-0.0017366826631397031,1.552209932030403e-30,0.0,-0.0118879817988417
419.56,-0.0015739809011433145,1.552209932030403e-30,0.0,0.008135088099826836
