time,x,y,yaw,bias_z,P_xx,P_yy,P_yaw,P_bias,info_eig_0,info_eig_1,info_eig_2,min_info_eigenvalue
0.1,0.11185086447177878,0.0009401608955771725,0.0005025872376844893,-5.695934370098356e-05,3.780379716646032e-05,8.888646137810355e-06,3.549698366696042e-06,0.0007634929434067083,162.8829589750142,655.0341367091321,2108.2067094843437,162.8829589750142
0.2,0.10158369549123544,-0.0005356882700306061,0.0012711547725142588,-0.0014567186646629975,1.8334090559835073e-05,4.0484853254976305e-06,1.701068109877344e-06,0.00027758732207616824,165.10733836277353,677.698858162517,3108.3905815806856,165.10733836277353
0.4,0.10121028866621826,-0.0005337475128377103,0.0012510742627838166,-2.828379518381467e-05,4.850529835965489e-07,1.3162231889341113e-07,3.0533125205549316e-08,7.133625497432174e-05,203.48378119071978,719.291364794825,3618.71332047758,203.48378119071978
0.5,0.10192609630459099,-0.0005317330084182093,0.0012509667639429517,-5.6032156811493384e-05,3.925251251003147e-07,6.683465600370613e-08,2.8264925914821128e-08,4.353468504435328e-05,202.78015008553226,719.8981864437571,3618.215107420325,202.78015008553226
0.6000000000000001,0.10177297459311674,-0.0005310350331812516,0.0012424563365174555,7.878954836231168e-07,3.889188597117622e-07,4.47993186304738e-08,2.7713962952472214e-08,3.046053313914135e-05,202.51657829278767,720.1567786595147,3617.9999247064284,202.51657829278767
0.7000000000000001,0.10313385743089763,-0.0005289564758113255,0.0012490895803981875,-2.7373683587688818e-05,3.9003280938923756e-07,3.363562315953168e-08,2.739273238101905e-08,2.3412785823569213e-05,201.671290524146,720.8479805859354,3617.9328088158527,201.671290524146
0.8,0.10458971366515635,-0.0005232497336548332,0.001179049752772015,0.0001938836164157249,3.909857549976597e-07,2.6919152538071764e-08,2.718544548805341e-08,1.9032490137363933e-05,201.0775855254395,721.2035057204962,3619.4601122565987,201.0775855254395
0.9,0.10441925433795494,-0.0005229982308245466,0.0011695660265137004,0.00018802574123517315,3.9158504652441314e-07,2.2459499099201395e-08,2.7065842081866686e-08,1.605060403511246e-05,200.71262789124907,721.583496602233,3617.882037186063,200.71262789124907
1.0,0.10371865622446876,-0.0005474653798772832,0.0012656723514399342,-5.5931885801598335e-05,2.191068827964833e-07,1.9269443745178454e-08,1.4064192524878348e-08,1.5960800159901885e-05,200.9938964594871,721.3708290822071,3620.5322864585664,200.9938964594871
1.1,0.10315038731550441,-0.0005265577783118674,0.001179718272707799,0.00016203640988811063,1.521653689168058e-07,1.687221802059447e-08,9.534539944554141e-09,1.592966691724209e-05,200.7524649025614,721.6419079881603,3622.637561244613,200.7524649025614
1.2,0.10314101785777241,-0.0005264929358781133,0.001179342056741646,0.00016299735932385147,1.1656312843234083e-07,1.5004592007562565e-08,7.226105338486317e-09,1.5913879349627736e-05,200.69384025480593,722.0886402398427,3620.3362899159765,200.69384025480593
1.3,0.10313798446027833,-0.000526474853057171,0.0011792245056710862,0.0001632984067151329,9.446407089602932e-08,1.350917998074219e-08,5.823641061222052e-09,1.5904330155540533e-05,200.66884906809364,722.1154535733627,3620.2445112669966,200.66884906809364
9.3,0.10287263278746828,-0.0005332924261674945,0.001412744816219881,-0.0004491913243013585,7.947806783302483e-08,1.229029982429378e-08,4.971225681966305e-09,1.589852429300809e-05,199.57841960003634,715.3191645749,3234.5056093354588,199.57841960003634
9.4,0.10666654463445112,-0.0004980752268584095,0.001122725726645297,0.0005795345457799834,6.289115442118275e-07,1.216427789838981e-08,1.2283648863578356e-07,1.5149410332712661e-05,195.09983115892067,704.2273128986081,2948.5075095548455,195.09983115892067
9.5,0.10872772827911148,-0.0005070080623712118,0.0065689396931756265,-0.005968386247317282,3.095455325319047e-06,1.2056612089081096e-08,3.7949556072204214e-07,1.3150622681089443e-05,197.48999855162563,698.2435367061003,2586.477730147113,197.48999855162563
9.6,0.10825959829786204,-0.0004247084615447915,0.004867086206395974,-0.003973546381361742,7.637811808128067e-07,1.1555327142415418e-08,6.398450718555076e-08,1.2705525236491305e-05,203.3494074489155,719.8209190958878,2759.564640614613,203.3494074489155
9.7,0.10551301472648665,-0.000477632963546972,0.006166119194509408,-0.004564089319368467,1.187577217274498e-06,1.125343627258688e-08,1.0021488324021817e-07,1.1411623893063288e-05,209.6977975088638,711.9404100214806,2845.3063763186938,209.6977975088638
