time,x,y,yaw
27.06,2.958681914716825e-14,1.5976052582553395e-30,-9.490908710464142e-16
27.08,2.958682378394118e-14,1.5976008575399093e-30,-9.490871126962512e-16
27.1,2.9586824517188046e-14,1.5976001616200672e-30,-9.490862560698907e-16
27.12,2.9586829461326223e-14,1.5975954692062208e-30,-9.490724526312012e-16
27.14,2.958683128548871e-14,1.597593737944993e-30,-9.490695952393305e-16
27.16,2.958683833490382e-14,1.597587047511022e-30,-9.490807963964139e-16
27.18,2.958684002904405e-14,1.5975854396249083e-30,-9.490865713737764e-16
27.2,2.958684317377073e-14,1.5975824550343448e-30,-9.490764761555849e-16
27.22,2.9586848110155694e-14,1.5975777700170096e-30,-9.49081475563181e-16
27.24,2.958684866608419e-14,1.597577242405184e-30,-9.490757806243558e-16
27.26,2.958684864426113e-14,1.597577263138567e-30,-9.490898078531023e-16
27.28,2.9586853796743224e-14,1.597572372949138e-30,-9.490925843354542e-16
27.3,2.958685749122199e-14,1.597568866564869e-30,-9.49081833631595e-16
27.32,2.958686154787092e-14,1.5975650164938797e-30,-9.490744603412749e-16
27.34,2.9586865798656714e-14,1.597560982164112e-30,-9.49076110313341e-16
27.36,2.9586872901610994e-14,1.5975542409754437e-30,-9.490649999466063e-16
27.38,2.958687457863125e-14,1.5975526493719935e-30,-9.490599684125236e-16
27.4,2.958687405305343e-14,1.5975531481766033e-30,-9.490560927688099e-16
27.42,2.958687218932136e-14,1.597554916962704e-30,-9.490512503884103e-16
27.44,2.958688032455543e-14,1.5975471962345228e-30,-9.490441009022204e-16
27.46,2.958688494140376e-14,1.5975428146488766e-30,-9.490450472304593e-16
27.48,2.958688362721391e-14,1.5975440618709776e-30,-9.490383859690687e-16
27.5,2.958688597687263e-14,1.5975418319422243e-30,-9.490484138191228e-16
27.52,2.958689075536228e-14,1.597537296895871e-30,-9.490586505773254e-16
27.54,2.958689519328948e-14,1.5975330850539724e-30,-9.490553836166667e-16
27.56,2.958689319844007e-14,1.5975349782652925e-30,-9.49044477268058e-16
27.58,2.9586893060795346e-14,1.597535108892501e-30,-9.49039573157352e-16
27.6,2.958689288103959e-14,1.59753527948679e-30,-9.49048184884257e-16
27.62,2.958689271623833e-14,1.5975354358862e-30,-9.490397205336717e-16
27.64,2.9586893542125164e-14,1.5975346520845336e-30,-9.490310061192755e-16
27.66,2.958689292215162e-14,1.5975352404572396e-30,-9.49038356939366e-16
27.68,2.9586894640190406e-14,1.597533609973412e-30,-9.49037105679153e-16
27.7,2.958689414468606e-14,1.5975340802227474e-30,-9.490370941418415e-16
27.72,2.958689683481154e-14,1.597531527187609e-30,-9.4904642272896e-16
27.74,2.958690016454823e-14,1.597528367094085e-30,-9.490512297158843e-16
27.76,2.958689679969872e-14,1.597531560465434e-30,-9.490312475212516e-16
27.78,2.958689651048843e-14,1.597531834949081e-30,-9.490439260788109e-16
27.8,2.958690334487979e-14,1.5975253488273318e-30,-9.490368064204142e-16
